,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
13935,150.0629883,2.3265553,1,0.06289,97199300000.0,1.0353,0.309583,1.17353,5.35192,0,,
13937,150.0843353,2.3273535,1,0.002709,802757000000.0,4.5121,0.390578,0.640884,0.28862,0,,
13940,150.0507965,2.3258033,1,0.006366,3307540000.0,0.6209,2.44569,5.43481,9.24745,0,,
13942,150.1822662,2.3270752,1,0.005228,131766000000.0,2.7566,0.347806,1.68727,3.53194,0,,
13945,150.2339783,2.3272088,1,0.01115,110177000000.0,2.2513,0.915763,1.87843,3.19709,0,,
13948,150.1876221,2.3260653,1,0.003235,59259300.0,0.1724,1.40892,2.94444,4.70074,0,,
13950,150.0583344,2.3260388,1,0.02387,11704900000.0,0.609,2.60581,4.74322,6.66183,0,,
13952,150.1983032,2.3261249,1,0.119,264594000000.0,1.1605,1.9118,5.15778,14.5158,0,,
13958,150.1537323,2.3267736,1,0.006634,1502090000.0,0.4562,0.478813,1.01981,1.51051,0,,
13961,150.0775146,2.3265779,1,0.02697,5577590000.0,0.4364,3.57912,6.504,11.7404,0,,
13965,150.1991882,2.324856,1,0.0189,19870400000.0,0.8939,2.51966,13.0603,37.7855,0,,
13969,150.1459808,2.3278649,1,0.005123,2192840000.0,0.5733,0.309133,0.430164,0.552035,0,,
13970,150.0879669,2.3261521,1,0.1018,109471000000.0,0.8987,3.17549,6.17643,12.9572,0,,
13972,150.2120209,2.3278818,1,0.0114,12259000000.0,0.899,0.07806,0.209323,0.3758,0,,
13974,150.1659698,2.3276875,1,0.007832,99700200000.0,2.4182,0.328801,0.484637,0.737252,0,,
13975,150.1529236,2.3228936,1,0.01247,11893500000.0,0.8288,3.59928,23.4515,79.6114,0,,
13977,150.2031555,2.327419,1,0.003998,36903600000.0,2.1751,0.710123,1.28446,1.67156,0,,
13978,150.0435181,2.3257165,1,0.3384,269860000000.0,0.7549,0.789234,5.1247,38.8091,0,,
13980,150.1397095,2.3280377,1,0.00715,28665800000.0,1.3246,0.0661078,0.0616503,0.0910538,0,,
13981,150.2075043,2.327368,1,0.01671,116276000000.0,1.8285,0.160446,0.511504,1.34568,0,,
13984,150.043808,2.3273969,1,0.01136,8612300000.0,0.7379,0.831463,1.8071,2.35114,0,,
13986,150.2263947,2.3271191,1,0.02253,145258000000.0,1.5287,1.73677,3.273,5.37461,0,,
13987,150.1555328,2.3262815,1,0.05167,3281530000.0,0.284,2.357,5.82813,10.6355,0,,
13989,150.0669403,2.3279564,1,0.01271,86188600000.0,1.5689,0.246168,0.455717,0.540155,0,,
13992,150.1002197,2.3280036,1,0.0009754,1828850000.0,1.0957,0.296648,0.44871,0.482026,0,,
13999,150.1129608,2.3270564,1,0.0003628,439403000.0,0.9489,1.00362,6.36233,20.6526,0,,
14001,150.1847687,2.3283823,1,0.006715,33047700000.0,1.3872,0.161881,0.319302,0.428516,0,,
14002,150.1546631,2.3284912,1,0.01035,210815000000.0,2.6435,0.252319,0.50461,0.468302,0,,
14007,150.1191406,2.3259575,1,0.02275,10832100000.0,0.6,4.06019,7.52911,13.8546,0,,
14008,150.1649017,2.3282208,1,0.00535,2374070000.0,0.5798,0.0438224,0.144898,0.401582,0,,
14009,150.0665131,2.328316,1,0.006898,725712000000.0,3.4125,0.205672,0.410293,0.73573,0,,
14013,150.0652466,2.3280623,1,0.004359,559392000.0,0.3709,0.481674,0.85759,1.04976,0,,
14017,150.1524811,2.3282859,1,0.007239,2778000000.0,0.5497,0.241714,0.350716,0.507169,0,,
14020,150.1834259,2.3282616,1,0.009953,112501000000.0,2.3516,0.4621,0.631364,0.45205,0,,
14021,150.0877533,2.3249834,1,0.1659,23502300000.0,0.3739,9.44304,20.4304,40.8844,0,,
14022,150.1993256,2.3273566,1,0.01049,71134400000.0,1.5718,0.991098,2.18744,5.19775,0,,
14024,150.1433258,2.3267407,1,0.007064,2811620000.0,0.5471,2.22956,4.88816,8.11004,0,,
14029,150.1450043,2.3284016,1,0.003657,3061270000.0,0.7767,0.112274,0.219481,0.297058,0,,
14030,150.1412201,2.3285217,1,0.008243,28699500000.0,1.2897,0.286601,0.535315,0.894577,0,,
14031,150.0739136,2.3256295,1,0.2583,8663330000.0,0.2157,13.895,83.8158,376.341,0,,
14032,150.1399994,2.3282886,1,0.01786,9801140000.0,0.6377,0.125716,0.226367,0.436315,0,,
14036,150.2089691,2.3275132,1,0.007816,55716700000.0,1.8937,1.53909,6.41537,16.1652,0,,
14039,150.1537781,2.3279884,1,0.08316,2562400000000.0,2.8676,0.376592,1.71012,9.8942,0,,
14040,150.098587,2.3279905,1,0.01772,17957000000.0,0.8786,0.537181,1.44675,3.37435,0,,
14043,150.0661011,2.3276417,1,0.2383,1696840000000.0,1.7274,1.29693,3.29455,8.07762,0,,
