Seq,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
20162,53.0188293,-27.7663403,1,0.0142,91551900000.0,1.5235,0.132847,0.323437,0.75497,0,,
20167,53.0768242,-27.7601604,1,0.008232,2713510000.0,0.5222,5.01843,29.9704,96.02,0,,
20168,53.1477737,-27.7656174,1,0.0008971,10727500000.0,2.3695,0.927977,1.40831,1.46487,0,,
20169,53.1535339,-27.7664165,1,0.0004873,3491290000.0,1.6662,0.233508,0.299847,0.438366,0,,
20173,53.0649719,-27.7656918,1,0.0004457,3128180000.0,1.6115,0.361702,0.662991,0.727917,0,,
20177,53.0495567,-27.7656727,1,0.01356,417822000000.0,2.8569,1.09443,2.30961,3.80633,0,,
20181,53.0197067,-27.7652721,1,0.04812,87677100000.0,1.0643,2.40578,4.64253,8.02007,0,,
20183,53.0385094,-27.7658978,1,0.01503,197811000000.0,2.4203,0.270714,0.8007,3.51009,0,,
20186,53.0608482,-27.7659302,1,0.006447,71123900000.0,0.2762,0.560756,0.601918,0.304405,0,,
20190,53.1046982,-27.765892,1,0.00119,1406760000.0,0.9434,0.44403,0.726272,0.858425,0,,
20199,53.1394882,-27.7659435,1,0.007892,10428600000.0,0.9821,0.333793,0.494915,0.685404,0,,
20200,53.132122,-27.766386,1,0.002443,12828000000.0,1.4074,0.0775364,0.111225,0.135928,0,,
20207,53.0890884,-27.7662926,1,0.004517,32163800000.0,1.7252,0.0989965,0.19941,0.204357,0,,
20211,53.0850677,-27.7660847,1,0.008947,106988000000.0,2.3751,0.161741,0.20731,0.292173,0,,
20212,53.0556641,-27.7651234,1,0.001503,65922900.0,0.2464,0.669324,1.25408,1.63252,0,,
20213,53.0946007,-27.7651882,1,0.004777,4680600000.0,0.853,0.959151,1.97374,3.27244,0,,
20217,53.1770554,-27.7643528,1,0.01041,1360860000000.0,3.5516,1.39387,1.6947,1.21739,0,,
20222,53.0926781,-27.7639923,1,0.02359,16967200000.0,0.7261,2.41941,4.85025,8.2679,0,,
20223,53.015274,-27.7644043,1,0.03201,195168000000.0,1.497,0.579734,2.21092,7.96974,0,,
20224,53.0219421,-27.7645531,1,0.008344,34933000000.0,1.3338,1.0366,5.39734,14.5675,0,,
20232,53.2028236,-27.7649746,1,0.01303,45366200000.0,1.2831,1.09198,2.03862,3.47387,0,,
20233,53.0349884,-27.765667,1,0.004666,33180100000.0,1.6335,0.202635,0.51743,1.0074,0,,
20235,53.0242958,-27.765789,1,0.01013,40613200000.0,1.3211,0.118267,0.234883,0.305706,0,,
20245,53.0884666,-27.7652283,1,0.01441,38779200000.0,1.2628,1.02921,1.48631,1.88945,0,,
20253,53.0840225,-27.7644749,1,0.007656,357971000.0,0.2499,1.01301,2.0458,2.92192,0,,
20258,53.1717453,-27.7658501,1,0.001996,89245000000.0,3.0549,0.23753,0.28762,0.376254,0,,
20260,53.0230179,-27.765976,1,0.007376,14262100000.0,1.1019,0.159366,0.250517,0.246682,0,,
20262,53.0733528,-27.764328,1,0.199,1388570000000.0,1.7206,1.11894,4.74979,19.4885,0,,
20265,53.0332832,-27.7651653,1,0.001523,564406000.0,0.543,0.511711,1.02618,1.65076,0,,
20271,53.0285187,-27.7639713,1,0.1327,128113000000.0,0.8458,4.53332,8.74158,15.2506,0,,
20273,53.2031174,-27.7656689,1,0.004711,2243070000.0,0.6002,0.10437,0.174838,0.258189,0,,
20274,53.0209694,-27.7657604,1,0.004351,28052300000.0,1.534,0.164977,0.354763,0.800289,0,,
20284,53.1326408,-27.7654114,1,0.006839,1039730000000.0,3.6366,0.0754625,0.51833,0.954514,0,,
20289,53.0227585,-27.7650108,1,0.006823,15583900000.0,1.1681,1.14498,1.98107,2.79556,0,,
20297,53.1480751,-27.7657604,1,0.002155,45413700000.0,2.6557,0.183412,0.297027,0.443812,0,,
20298,53.1373253,-27.7615566,1,0.3009,99185400000.0,0.5208,1.30049,7.33806,37.2954,0,,
20300,53.125988,-27.7647133,1,0.00185,456876000.0,0.4661,0.209228,0.726733,1.53205,0,,
20302,53.0934944,-27.7653427,1,0.007304,55815800000.0,1.9835,0.293914,0.358455,0.345742,0,,
20304,53.2049294,-27.7650967,1,0.006161,189838000000.0,2.869,0.440508,0.752334,0.900855,0,,
20306,53.0624962,-27.7648296,1,0.02477,69470400000.0,1.2333,1.59803,2.06739,2.33469,0,,
20310,53.034317,-27.7638474,1,0.03951,271234000000.0,1.5778,1.29775,2.90617,5.641,0,,
20311,53.0157051,-27.7651043,1,0.01021,1431810000000.0,3.6096,0.479477,0.704898,0.633128,0,,
20315,53.0143509,-27.7642193,1,0.006888,810379000000.0,3.4857,0.995012,2.73235,6.81799,0,,
20317,53.1102448,-27.7630825,1,0.04282,251282000000.0,1.4088,1.18186,4.06197,11.5413,0,,
20318,53.0739594,-27.7632408,1,0.02212,16327200000.0,0.7149,2.96497,5.92652,10.2263,0,,
20324,53.0137329,-27.7646198,1,0.002215,982909000.0,0.5792,0.220339,0.649547,1.29143,0,,
20325,53.0684891,-27.7648029,1,1.841e-05,130914000.0,1.6292,0.205695,0.268544,0.329251,0,,
20327,53.1318398,-27.7652798,1,0.003204,18066700000.0,1.4416,0.133165,0.182299,0.152053,0,,
20328,53.113884,-27.7648277,1,0.001838,16044100000.0,2.1213,0.417188,0.631778,0.73556,0,,
20329,53.0840187,-27.7637157,1,0.009621,68415200000.0,1.6286,1.88,2.4257,2.94944,0,,
20331,53.0701218,-27.7641926,1,0.009059,13555000000.0,1.0204,1.94968,2.80005,3.69544,0,,
20332,53.0832367,-27.763319,1,0.001405,3781040000.0,1.1303,1.0133,1.51409,1.76491,0,,
20334,53.051899,-27.7642746,1,0.02343,23743400000.0,0.8745,0.266555,1.38856,5.19452,0,,
20344,53.2040672,-27.7647591,1,0.008417,38454000000.0,1.3601,0.411665,0.708376,0.880203,0,,
20346,53.1141548,-27.7637749,1,0.008417,6212750000.0,0.7294,1.27311,2.70062,4.62474,0,,
20347,53.0846748,-27.7639771,1,0.008417,60113100000.0,1.7055,0.480182,0.867669,0.996257,0,,
20349,53.1880608,-27.764677,1,0.000422,6891200000.0,2.5279,0.434256,0.686363,0.698933,0,,
20350,53.1438713,-27.7650776,1,0.001742,202383000.0,0.3542,0.038727,0.122338,0.18734,0,,
20351,53.0237617,-27.7651291,1,0.007098,8204820000.0,0.9321,0.142743,0.25465,0.343588,0,,
