,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
7972,34.2239342,-5.2292571,1,0.01447,2152430000.0,0.391,0.0405565,0.125614,0.263339,0,,
7978,34.2179413,-5.2285099,1,0.01183,27886600000.0,1.178,0.896186,1.39148,2.11307,0,,
7981,34.2373238,-5.2282982,1,0.006004,51665200000.0,2.1067,1.25118,2.24483,3.1576,0,,
7982,34.323307,-5.2278481,1,0.07381,513603000000.0,1.8242,1.94613,4.31663,7.60256,0,,
7984,34.2478065,-5.2280898,1,0.06268,65898200000.0,0.8968,0.889901,2.87172,9.16779,0,,
7987,34.3993607,-5.2273383,1,0.209,344758000000.0,1.0501,1.6967,6.64131,27.1295,0,,
7988,34.3018379,-5.2294979,1,0.01206,3193570000000.0,4.113,0.232427,0.486554,1.06671,0,,
7991,34.2676353,-5.2291641,1,0.008409,55120600000.0,1.5457,0.179446,0.26579,0.216362,0,,
7992,34.3559227,-5.2290716,1,0.01108,7969320000.0,0.725,0.223293,0.298358,0.349718,0,,
7995,34.2950134,-5.2288299,1,0.002749,19671200000.0,1.6877,0.252987,0.388403,0.484295,0,,
7996,34.4107552,-5.2288556,1,0.003798,27007700000.0,1.6312,0.510183,0.974785,1.45262,0,,
7998,34.3183022,-5.2295451,1,0.01102,14562000000.0,0.9841,0.072022,0.145773,0.288785,0,,
7999,34.3873901,-5.2254701,1,0.1393,78772200000.0,0.5942,4.58782,22.6336,84.2759,0,,
8003,34.3190536,-5.2292728,1,0.02273,160293000000.0,1.7573,0.175835,0.222749,0.461955,0,,
8004,34.2690811,-5.229363,1,0.003336,314752000.0,0.3287,0.0540667,0.109376,0.142316,0,,
8007,34.3772888,-5.2287569,1,0.01437,45684800000.0,1.2668,0.787004,0.981799,1.15491,0,,
8010,34.2788544,-5.2266426,1,0.04432,364477000000.0,2.0614,1.9057,8.97845,29.5169,0,0.0,
8012,34.269268,-5.2280359,1,0.01321,99547100000.0,1.9678,0.176278,1.31256,6.96108,0,,
8014,34.3582306,-5.2289748,1,0.01912,18975500000.0,0.8617,0.10582,0.171436,0.19122,0,,
8018,34.2331161,-5.2284517,1,0.004083,71663200000.0,2.5658,0.576176,0.843597,1.01109,0,,
8019,34.2691383,-5.2277226,1,0.03375,269748000000.0,2.0244,0.342273,1.77526,7.88638,0,,
8024,34.3741798,-5.2288494,1,0.009226,9039830000.0,0.8596,0.150149,0.211221,0.305317,0,,
8028,34.4058189,-5.2250323,1,0.09733,627517000000.0,1.5225,4.07635,8.92678,17.7658,0,,
8031,34.3002243,-5.2283664,1,0.02183,135445000000.0,1.5031,0.356531,0.45233,0.444397,0,,
8032,34.3848839,-5.2288046,1,0.02509,167317000000.0,1.5491,0.345813,0.495823,0.530639,0,,
8034,34.2179756,-5.2278619,1,0.007739,1736960000000.0,3.9083,1.25327,2.7457,1.63993,0,,
8036,34.232502,-5.2287216,1,0.008962,603323000.0,0.2917,0.138589,0.234827,0.291733,0,,
8037,34.4042168,-5.2282324,1,0.03789,467461000000.0,2.4019,0.356195,1.22951,3.96695,0,,
8038,34.3400116,-5.2289505,1,0.005476,39108800000.0,1.7074,0.11724,0.235924,0.188876,0,,
8039,34.2184296,-5.228765,1,0.03012,3415230000000.0,3.4595,0.229457,0.356865,0.222428,0,,
8042,34.3656311,-5.2250962,1,0.1603,150758000000.0,0.8244,1.33634,7.86358,41.0035,0,,
8043,34.2678299,-5.2288742,1,0.006687,6886450000.0,0.8873,0.127753,0.19639,0.188139,0,,
8059,34.3900185,-5.2285395,1,0.009563,114354000000.0,2.3753,0.356102,0.542333,0.730818,0,,
8060,34.277462,-5.2281303,1,0.1878,1310420000000.0,1.8368,0.774028,2.64837,11.6866,0,,
